Repositório,Número de Estrelas,Último Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
openstreetmap/openstreetmap-website,2520,2025-09-25T17:40:16Z,true,false,false,false,false,false,false,Sim
allegro/turnilo,754,2025-07-21T05:41:42Z,false,false,false,false,true,false,false,Sim
StamusNetworks/scirius,667,2024-12-09T15:01:18Z,true,false,false,false,false,false,false,Sim
incentius-foss/WhatTheDuck,629,2025-05-30T10:22:48Z,true,false,false,false,false,false,false,Sim
geonetwork/core-geonetwork,473,2025-09-27T13:36:44Z,true,false,false,false,false,false,false,Sim
subhamBharadwaz/scribbly,452,2025-06-18T01:24:16Z,true,false,false,false,false,false,false,Sim
SuperViz/superviz,381,2025-03-10T13:55:11Z,true,false,false,false,true,false,false,Sim
louislam/uptime-kuma,75448,2025-09-24T07:08:57Z,true,false,false,false,false,false,false,Sim
h2oai/wave,4190,2025-09-26T12:35:12Z,false,false,true,false,false,false,false,Sim
Ajaxy/telegram-tt,3016,2025-09-19T12:39:00Z,true,false,false,false,false,false,false,Sim
wuhan2020/WebApp,393,2024-11-10T21:26:11Z,true,false,false,false,false,false,false,Sim
cloudron-io/meemo,374,2025-03-31T13:49:48Z,true,false,false,false,false,false,false,Sim
path-yu/vue3-cloud-music,352,2025-09-19T03:50:35Z,true,false,false,false,false,false,false,Sim
SouJunior/vagas-webapp,254,2025-09-18T14:43:20Z,true,false,false,false,false,false,false,Sim
axelor/open-suite-webapp,195,2025-09-25T16:39:33Z,true,false,false,false,false,false,false,Sim
crosshare-org/crosshare,147,2025-08-19T18:44:59Z,true,false,false,false,false,false,false,Sim
qwinsi/tex2typst-webapp,89,2025-09-19T18:03:56Z,true,false,false,false,false,false,false,Sim
qoomon/smart-life-webapp,65,2025-09-22T10:28:53Z,true,false,false,false,false,false,false,Sim
premieroctet/photoshot,3838,2024-12-07T18:48:19Z,true,false,false,false,false,false,false,Sim
Privoce/vocechat-web,2018,2025-08-22T01:55:10Z,true,false,true,false,false,false,false,Sim
wavebox/waveboxapp,1358,2025-09-24T07:46:17Z,false,false,true,false,false,false,false,Sim
raindropio/app,1278,2025-09-26T09:01:14Z,true,false,false,false,false,false,false,Sim
robertying/learnX,279,2025-09-24T03:01:14Z,true,false,false,false,true,false,false,Sim
titaniumnetwork-dev/Ultraviolet-App,349,2025-08-22T04:20:32Z,true,false,false,false,false,false,false,Sim
StudentiUniMi/website,60,2025-09-11T18:02:20Z,true,false,false,false,false,false,false,Sim
mtgjson/mtgjson-website,40,2025-09-21T02:19:38Z,true,false,false,false,false,false,false,Sim
rohanmistry231/Real-Estate-Website-Project,36,2025-05-24T04:23:51Z,true,false,false,false,false,false,false,Sim
phpbb/area51,18,2025-09-27T10:39:50Z,true,false,false,false,false,false,false,Sim
casdoor/casdoor,12296,2025-09-27T07:54:13Z,true,false,false,false,true,false,false,Sim
HuolalaTech/page-spy-web,5427,2025-09-28T03:38:25Z,true,false,false,false,false,false,false,Sim
Openpanel-dev/openpanel,4523,2025-09-26T18:32:58Z,true,false,false,false,true,false,false,Sim
flexn-io/renative,1895,2025-03-31T07:32:00Z,true,false,false,false,true,false,false,Sim
dnnsoftware/Dnn.Platform,1095,2025-09-23T21:54:36Z,true,false,false,false,false,false,false,Sim
SonicCloudOrg/sonic-client-web,667,2024-10-16T03:15:36Z,true,false,false,false,false,false,false,Sim
keymanapp/keyman,474,2025-09-26T12:21:36Z,true,false,false,false,true,false,false,Sim
archesproject/arches,256,2025-09-26T19:11:54Z,true,false,false,false,false,false,false,Sim
u-wave/web,70,2025-09-19T08:47:00Z,true,false,true,false,false,false,false,Sim
okp4/portal-web,92,2024-12-11T00:59:13Z,true,false,false,false,false,false,false,Sim
invoiceninja/ui,81,2025-09-23T14:02:30Z,true,false,false,false,false,false,false,Sim
iiitv/getmein-web,29,2024-09-29T20:18:41Z,true,false,false,false,false,false,false,Sim
waldur/waldur-homeport,26,2025-09-28T16:38:38Z,true,false,false,false,false,false,false,Sim
