Repositório,Número de Estrelas,Último Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer
hotwired/turbo,7116,2025-09-10T08:13:55Z,true,false,false,false,true,false,false
oklai/koala,3975,2025-08-30T20:31:32Z,true,false,false,false,false,false,false
openstreetmap/openstreetmap-website,2502,2025-09-10T17:25:22Z,true,false,false,false,false,false,false
edavis10/redmine,2447,2025-09-03T23:55:16Z,true,false,false,false,false,false,false
fulcrologic/fulcro,1581,2025-09-08T22:09:07Z,true,false,false,false,false,false,false
adrianhajdin/project_music_player,1066,2025-09-07T06:26:18Z,true,false,false,false,false,false,false
StamusNetworks/scirius,663,2025-09-10T19:54:33Z,true,false,false,false,false,false,false
ziolko/aria-devtools,531,2025-09-05T14:25:01Z,true,false,false,false,false,false,false
blackfireio/player,492,2025-09-08T08:04:20Z,true,false,false,false,false,false,false
UdashFramework/udash-core,450,2025-09-02T10:24:31Z,true,false,false,false,false,false,false
SuperViz/superviz,381,2025-08-14T23:11:13Z,true,false,false,false,true,false,false
adrianhajdin/project_web3_uniswap,278,2025-07-24T19:09:12Z,true,false,false,false,false,false,false
gokulkrishh/qrcodescan.in,277,2025-07-31T07:06:46Z,true,false,false,false,false,false,false
golden-layout/golden-layout,6523,2025-09-10T23:35:58Z,true,false,false,false,false,false,false
samuelmaddock/metastream,2591,2025-09-10T18:44:36Z,true,false,false,false,false,false,false
SpacingBat3/WebCord,2252,2025-09-10T09:26:58Z,true,false,false,false,false,false,false
morethanwords/tweb,2235,2025-09-10T21:04:26Z,true,false,false,false,false,false,false
download-directory/download-directory.github.io,1521,2025-09-10T16:31:32Z,true,false,false,false,false,false,false
enzeberg/tonzhon-music,1251,2025-09-11T00:05:14Z,true,false,false,false,false,false,false
erwindon/SaltGUI,577,2025-09-09T22:57:56Z,true,false,false,false,false,false,false
lhz960904/movie-trailer,481,2025-08-28T07:07:08Z,true,false,true,false,false,false,false
wuhan2020/WebApp,393,2025-07-25T03:33:40Z,true,false,false,false,false,false,false
cloudron-io/meemo,375,2025-06-21T03:06:10Z,true,false,false,false,false,false,false
Mr-Quin/danmaku-anywhere,355,2025-09-10T13:54:53Z,true,false,false,false,true,false,false
Privoce/Portal-Lite,353,2025-09-04T01:53:16Z,true,false,false,false,false,false,false
path-yu/vue3-cloud-music,347,2025-09-10T17:29:53Z,true,false,false,false,false,false,false
baotlake/periodic-table-pro,341,2025-09-04T21:03:57Z,true,false,false,false,false,false,false
spatie/dnsrecords.io,316,2025-09-04T11:39:38Z,true,false,true,false,false,false,false
ImaginarySense/Imaginary-Teleprompter,285,2025-08-21T16:33:15Z,true,false,false,false,false,false,false
meemoo/meemooapp,271,2025-06-05T04:43:16Z,true,false,false,false,false,false,false
EasyWebApp/WebCell,178,2025-09-10T14:25:30Z,true,false,false,false,false,false,false
gmallios/SoundcoreManager,162,2025-09-10T14:39:26Z,true,false,false,false,false,false,false
egodigital/vscode-powertools,162,2025-08-27T08:56:33Z,true,false,false,false,false,false,false
n1k0/tooty,161,2025-08-19T02:46:42Z,true,false,false,false,false,false,false
NEST-Protocol/NEST-Prize-WebApp,156,2025-03-17T10:39:19Z,true,false,false,false,false,false,false
SongoMen/Trader24,129,2025-08-27T10:51:50Z,true,false,false,false,false,false,false
hlorenzi/theorytracker,126,2025-08-06T16:39:17Z,true,false,false,false,false,false,false
barelyhuman/mark,124,2025-09-04T17:57:01Z,true,false,false,false,false,false,false
luin/bazinga,109,2025-07-22T14:41:57Z,true,false,false,false,false,false,false
dennisdev/rs-map-viewer,103,2025-09-10T18:19:48Z,true,false,false,false,false,false,false
edjw/find-nearest-tailwind-colour,103,2025-07-30T21:05:18Z,true,false,false,false,false,false,false
nico-martin/ask-my-pdf,103,2025-09-07T11:17:12Z,true,false,false,false,false,false,false
ZahraShahid/MyRealEstateWebsite,101,2025-08-20T08:55:11Z,true,false,false,false,false,false,false
FelicianoTech/pocket-casts-desktop-app,98,2025-07-21T13:06:17Z,true,false,false,false,false,false,false
cryptoboid/splitio,98,2025-08-30T16:56:54Z,true,false,false,false,false,false,false
Barba828/buitar,96,2025-09-03T08:06:03Z,true,false,false,false,false,false,false
Asvel/ffxiv-gearing,90,2025-09-10T19:19:08Z,true,false,false,false,false,false,false
pkrasicki/SyncPaint,75,2025-08-08T10:08:49Z,true,false,false,false,false,false,false
dilaouid/steam-wgp,74,2025-08-30T04:55:17Z,true,false,false,false,false,false,false
Touch-N-Stars/Touch-N-Stars,72,2025-09-10T21:28:23Z,true,false,false,false,false,false,false
chokiproai/ChatGPT-Plugins,72,2025-09-06T15:03:00Z,true,false,false,false,false,false,false
