Repositório,Número de Estrelas,Último Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer
hotwired/turbo,7126,2025-09-25T22:58:29Z,true,false,false,false,true,false,false
oklai/koala,3975,2025-08-30T20:31:32Z,true,false,false,false,false,false,false
openstreetmap/openstreetmap-website,2519,2025-09-26T00:10:54Z,true,false,false,false,false,false,false
edavis10/redmine,2446,2025-09-17T06:00:52Z,true,false,false,false,false,false,false
fulcrologic/fulcro,1580,2025-09-25T08:42:35Z,true,false,false,false,false,false,false
adrianhajdin/project_music_player,1066,2025-09-24T10:16:22Z,true,false,false,false,false,false,false
StamusNetworks/scirius,665,2025-09-18T03:22:32Z,true,false,false,false,false,false,false
ziolko/aria-devtools,535,2025-09-22T05:56:53Z,true,false,false,false,false,false,false
blackfireio/player,492,2025-09-24T13:54:54Z,true,false,false,false,false,false,false
river-now/river,457,2025-09-26T01:42:00Z,true,false,false,false,false,false,false
UdashFramework/udash-core,450,2025-09-22T16:28:44Z,true,false,false,false,false,false,false
SuperViz/superviz,381,2025-08-14T23:11:13Z,true,false,false,false,true,false,false
adrianhajdin/project_web3_uniswap,279,2025-09-11T08:55:34Z,true,false,false,false,false,false,false
gokulkrishh/qrcodescan.in,279,2025-09-20T06:55:33Z,true,false,false,false,false,false,false
golden-layout/golden-layout,6533,2025-09-25T23:52:38Z,true,false,false,false,false,false,false
samuelmaddock/metastream,2592,2025-09-24T06:57:46Z,true,false,false,false,false,false,false
SpacingBat3/WebCord,2257,2025-09-25T09:35:47Z,true,false,false,false,false,false,false
morethanwords/tweb,2247,2025-09-25T18:38:31Z,true,false,false,false,false,false,false
download-directory/download-directory.github.io,1531,2025-09-25T14:29:19Z,true,false,false,false,false,false,false
erwindon/SaltGUI,579,2025-09-23T00:56:35Z,true,false,false,false,false,false,false
lhz960904/movie-trailer,481,2025-08-28T07:07:08Z,true,false,true,false,false,false,false
wuhan2020/WebApp,393,2025-07-25T03:33:40Z,true,false,false,false,false,false,false
cloudron-io/meemo,374,2025-09-13T17:56:53Z,true,false,false,false,false,false,false
Mr-Quin/danmaku-anywhere,372,2025-09-24T18:00:57Z,true,false,false,false,true,false,false
Privoce/Portal-Lite,353,2025-09-04T01:53:16Z,true,false,false,false,false,false,false
path-yu/vue3-cloud-music,352,2025-09-22T07:14:00Z,true,false,false,false,false,false,false
baotlake/periodic-table-pro,344,2025-09-26T00:42:54Z,true,false,false,false,false,false,false
spatie/dnsrecords.io,317,2025-09-19T00:43:07Z,true,false,true,false,false,false,false
ImaginarySense/Imaginary-Teleprompter,285,2025-08-21T16:33:15Z,true,false,false,false,false,false,false
meemoo/meemooapp,271,2025-06-05T04:43:16Z,true,false,false,false,false,false,false
EasyWebApp/WebCell,178,2025-09-10T14:25:30Z,true,false,false,false,false,false,false
gmallios/SoundcoreManager,163,2025-09-18T08:39:48Z,true,false,false,false,false,false,false
egodigital/vscode-powertools,162,2025-08-27T08:56:33Z,true,false,false,false,false,false,false
n1k0/tooty,161,2025-08-19T02:46:42Z,true,false,false,false,false,false,false
NEST-Protocol/NEST-Prize-WebApp,156,2025-03-17T10:39:19Z,true,false,false,false,false,false,false
SongoMen/Trader24,129,2025-08-27T10:51:50Z,true,false,false,false,false,false,false
hlorenzi/theorytracker,126,2025-08-06T16:39:17Z,true,false,false,false,false,false,false
barelyhuman/mark,125,2025-09-21T02:45:24Z,true,false,false,false,false,false,false
luin/bazinga,108,2025-09-11T16:04:01Z,true,false,false,false,false,false,false
dennisdev/rs-map-viewer,104,2025-09-11T13:48:16Z,true,false,false,false,false,false,false
edjw/find-nearest-tailwind-colour,103,2025-07-30T21:05:18Z,true,false,false,false,false,false,false
nico-martin/ask-my-pdf,102,2025-09-11T17:49:49Z,true,false,false,false,false,false,false
ZahraShahid/MyRealEstateWebsite,101,2025-08-20T08:55:11Z,true,false,false,false,false,false,false
FelicianoTech/pocket-casts-desktop-app,98,2025-09-23T16:03:18Z,true,false,false,false,false,false,false
cryptoboid/splitio,98,2025-08-30T16:56:54Z,true,false,false,false,false,false,false
Barba828/buitar,96,2025-09-03T08:06:03Z,true,false,false,false,false,false,false
Asvel/ffxiv-gearing,90,2025-09-16T17:46:40Z,true,false,false,false,false,false,false
pkrasicki/SyncPaint,75,2025-08-08T10:08:49Z,true,false,false,false,false,false,false
dilaouid/steam-wgp,74,2025-08-30T04:55:17Z,true,false,false,false,false,false,false
Touch-N-Stars/Touch-N-Stars,73,2025-09-14T08:32:05Z,true,false,false,false,false,false,false
chokiproai/ChatGPT-Plugins,72,2025-09-17T02:38:51Z,true,false,false,false,false,false,false
sokhuong-uon/discord-clone-old,70,2025-04-19T22:47:59Z,true,false,false,false,false,false,false
wwenj/web-music-player,69,2024-11-24T22:07:01Z,true,false,false,false,false,false,false
mantou132/mt-music-player,68,2025-01-07T15:54:33Z,true,false,false,false,false,false,false
kylebuildsstuff/aichatbestie,67,2025-07-06T18:39:01Z,true,false,false,false,false,false,false
lswiderski/WebBodyComposition,67,2025-09-23T14:36:35Z,true,false,false,false,false,false,false
qoomon/smart-life-webapp,65,2025-09-22T10:28:57Z,true,false,false,false,false,false,false
riffusion/riffusion-app-hobby,2672,2025-09-25T08:24:11Z,true,false,false,false,false,false,false
javaswing/NeteaseCloudWebApp,2581,2025-09-14T15:43:01Z,true,false,false,false,false,false,false
gabrielpetersson/fast-grid,2172,2025-09-22T09:48:51Z,true,false,false,false,false,false,false
romannurik/SlidesCodeHighlighter,1104,2025-09-19T15:31:33Z,true,false,false,false,false,false,false
pnd280/complexity,924,2025-09-26T02:14:21Z,true,false,false,false,true,false,false
webpack/analyse,888,2025-09-03T02:25:52Z,true,false,false,false,false,false,false
clientdb/clientdb,639,2025-09-13T16:36:17Z,true,false,false,false,false,false,false
maxence-charriere/lofimusic,601,2025-09-20T01:18:21Z,true,false,false,false,false,false,false
webcatalog/webcatalog-legacy,537,2025-09-19T06:08:11Z,true,false,false,false,false,false,false
mmazzarolo/ordinary-puzzles-app,494,2025-09-11T12:26:26Z,true,false,false,false,false,false,false
krikienoid/flagwaver,393,2025-09-25T11:37:20Z,true,false,true,false,false,false,false
remake/remake-cli,391,2025-08-18T08:47:10Z,true,false,false,false,false,false,false
framework7io/framework7-template-vue-webpack,381,2025-08-01T04:44:25Z,true,false,false,false,false,false,false
dxx/mango-music,349,2025-06-24T07:52:27Z,true,false,false,false,false,false,false
jmhodges/howsmyssl,346,2025-09-15T20:58:05Z,true,false,false,false,false,false,false
